序号,企业名称,企业编号,建筑物名称,建筑物编号,车间名称,车间编号,工艺名称,工艺编号,采样点名称,采样点编号,最小值,最大值,低低设,低设,高设,高高设,类别,描述,x坐标,y坐标,高度,宽度,单位,测点
105,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1022压力 三甲基氯硅烷,q0083p0114,0,1,0,0.1,0.8,0.9,工艺点位,,680,230,,,Mpa,
106,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1021压力 三甲基氯硅烷,q0083p0115,0,1,0,0.1,0.8,0.9,工艺点位,,540,230,,,Mpa,
107,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,罐区尾气去焚烧炉压力 ,q0083p0116,0,1,0,0.1,0.8,0.9,工艺点位,,680,720,,,Mpa,
108,新亚强硅化学股份有限公司（二厂）,q0083,203焚烧车间（二厂区）,q0083b0018,203焚烧车间,q0083w0018,焚烧车间,q0083s0002,罐区进氮气总管压力 ,q0083p0117,0,1.6,0,0.1,1.2,1.3,工艺点位,,900,500,,,Mpa,
109,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1027压力 三甲,q0083p0118,0,1,0,0.1,0.8,0.9,工艺点位,,842,700,,,Mpa,
110,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1011C待精馏高沸罐压力,q0083p0119,0,1,0,0.1,0.8,0.9,工艺点位,,545,520,,,Mpa,
111,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1011D待精馏高沸罐压力,q0083p0120,0,1,0,0.1,0.8,0.9,工艺点位,,765,520,,,Mpa,
112,新亚强硅化学股份有限公司（二厂）,q0083,罐组3（二厂区）,q0083b0014,罐组3,q0083w0014,罐区工艺3,q0083s0007,V1012C待精馏高沸罐压力,q0083p0121,0,1,0,0.1,0.8,0.9,工艺点位,,972,520,,,Mpa,
113,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1026罐压力  硅氮,q0083p0122,0,1,0,0.1,0.8,0.9,工艺点位,,695,700,,,Mpa,
114,新亚强硅化学股份有限公司（二厂）,q0083,罐组6（二厂区）,q0083b0017,罐组6,q0083w0017,罐区工艺6,q0083s0009,V1025罐压力  氯苯,q0083p0123,0,1,0,0.1,0.8,0.9,工艺点位,,542,700,,,Mpa,
